Epoch,Train_Loss,Train_Error,Test_Error
0,0.357,0.62,0.632
1,0.33,0.628,0.639
2,0.314,0.607,0.613
3,0.302,0.57,0.575
4,0.292,0.516,0.502
5,0.285,0.442,0.431
6,0.278,0.398,0.402
7,0.272,0.361,0.367
8,0.267,0.323,0.338
9,0.263,0.3,0.311
10,0.259,0.281,0.281
11,0.255,0.259,0.262
12,0.252,0.251,0.247
13,0.249,0.236,0.236
14,0.246,0.228,0.226
15,0.243,0.219,0.217
16,0.24,0.213,0.212
17,0.238,0.206,0.202
18,0.235,0.198,0.191
19,0.233,0.193,0.183
20,0.231,0.185,0.178
21,0.228,0.182,0.177
22,0.226,0.18,0.171
23,0.224,0.176,0.169
24,0.222,0.175,0.167
25,0.22,0.172,0.166
26,0.218,0.169,0.163
27,0.217,0.166,0.159
28,0.215,0.166,0.158
29,0.213,0.169,0.158
30,0.211,0.168,0.157
31,0.21,0.169,0.156
32,0.208,0.167,0.152
33,0.206,0.166,0.15
34,0.205,0.164,0.149
35,0.203,0.163,0.147
36,0.202,0.161,0.143
37,0.2,0.159,0.14
38,0.199,0.153,0.138
39,0.197,0.152,0.135
40,0.196,0.15,0.134
41,0.195,0.148,0.133
42,0.193,0.146,0.129
43,0.192,0.146,0.123
44,0.191,0.144,0.122
45,0.189,0.142,0.12
46,0.188,0.14,0.119
47,0.187,0.139,0.119
48,0.185,0.139,0.117
49,0.184,0.135,0.116
50,0.183,0.135,0.116
51,0.182,0.133,0.114
52,0.181,0.132,0.113
53,0.18,0.13,0.11
54,0.178,0.129,0.108
55,0.177,0.127,0.106
56,0.176,0.126,0.105
57,0.175,0.125,0.104
58,0.174,0.124,0.101
59,0.173,0.123,0.099
60,0.172,0.121,0.098
61,0.171,0.119,0.095
62,0.17,0.117,0.093
63,0.169,0.113,0.089
64,0.168,0.111,0.086
65,0.167,0.108,0.083
66,0.166,0.107,0.082
67,0.165,0.106,0.081
68,0.164,0.102,0.081
69,0.163,0.101,0.08
70,0.163,0.099,0.078
71,0.162,0.098,0.077
72,0.161,0.098,0.075
73,0.16,0.096,0.075
74,0.159,0.096,0.073
75,0.158,0.092,0.073
76,0.157,0.091,0.073
77,0.157,0.089,0.072
78,0.156,0.087,0.071
79,0.155,0.086,0.07
80,0.154,0.083,0.068
81,0.154,0.08,0.067
82,0.153,0.077,0.066
83,0.152,0.077,0.067
84,0.151,0.076,0.066
85,0.151,0.074,0.066
86,0.15,0.071,0.064
87,0.149,0.07,0.064
88,0.148,0.067,0.063
89,0.148,0.067,0.062
90,0.147,0.066,0.062
91,0.146,0.066,0.061
92,0.146,0.064,0.06
93,0.145,0.063,0.059
94,0.145,0.061,0.058
95,0.144,0.059,0.058
96,0.143,0.059,0.057
97,0.143,0.056,0.056
98,0.142,0.056,0.056
99,0.142,0.055,0.056
100,0.141,0.054,0.054
101,0.14,0.053,0.054
102,0.14,0.053,0.054
103,0.139,0.051,0.053
104,0.139,0.051,0.053
105,0.138,0.049,0.051
106,0.138,0.049,0.052
107,0.137,0.048,0.052
108,0.137,0.048,0.052
109,0.136,0.048,0.051
110,0.136,0.048,0.052
111,0.135,0.048,0.051
112,0.135,0.047,0.052
113,0.134,0.047,0.053
114,0.134,0.046,0.053
115,0.133,0.046,0.053
116,0.133,0.046,0.053
117,0.132,0.044,0.054
118,0.132,0.043,0.054
119,0.131,0.043,0.054
120,0.131,0.042,0.052
121,0.13,0.042,0.052
122,0.13,0.042,0.051
123,0.13,0.042,0.051
124,0.129,0.042,0.05
125,0.129,0.042,0.05
126,0.128,0.041,0.049
127,0.128,0.039,0.049
128,0.128,0.038,0.048
129,0.127,0.038,0.048
130,0.127,0.038,0.046
131,0.126,0.038,0.046
132,0.126,0.038,0.045
133,0.126,0.038,0.045
134,0.125,0.037,0.045
135,0.125,0.037,0.045
136,0.124,0.037,0.045
137,0.124,0.037,0.045
138,0.124,0.036,0.045
139,0.123,0.037,0.045
140,0.123,0.037,0.045
141,0.123,0.036,0.044
142,0.122,0.035,0.044
143,0.122,0.035,0.043
144,0.122,0.035,0.043
145,0.121,0.034,0.043
146,0.121,0.034,0.042
147,0.121,0.034,0.042
148,0.12,0.033,0.042
149,0.12,0.033,0.042
